Identifier,Label,Description,Created,Modified,History notes,Type
2995,Consumer rights - letting agents fees,A local authority must enforce the duty upon letting agents to publicise their fees. ,2017-03-17,2017-05-11,,duty
2996,Consumer rights - secondary ticketing,"A local authority may enforce the law relating to secondary ticketing,  where a person re-sells a ticket for a recreational, sporting or cultural event in the United Kingdom through a secondary ticketing facility.",2017-03-17,2017-05-11,,power
2997,Counter terrorism - prevention of people from falling into terrorism,"A local authority must, in the exercise of its functions, have due regard to the need to prevent people from being drawn into terrorism.",2017-03-17,2017-05-11,,duty
2998,Counter terrorism - regard to guidance from Secretary of State,"A local authority must, in the exercise of its duty under the Act, have regard to Guidance from the Secretary of State.",2017-03-17,2017-05-11,,duty
2999,Counter terrorism - compliance with guidance,A local authority must comply with directions from the Secretary of State or from Welsh Ministers.,2017-03-17,2017-05-11,,duty
3000,Counter terrorism - assessment and support panel,A local authority must ensure that there is an assessment and support panel for its area.,2017-03-17,2017-05-11,,duty
3001,Counter terrorism - membership of assessment and support panel,"A local authority must be a member of the assessment and support panel for its area, appoint a representative and co-operate with the other members in carrying out its functions.",2017-03-17,2017-05-11,,duty
3002,Meetings - religious observance,"The business at a meeting of an English local authority or committee or subcommittee of that Authority may include time for—

(a) prayers or other religious observance, or
(b) observance connected with a religious or philosophical belief.",2017-03-17,2017-05-11,,power
3003,Religious events - support and attendance,"A local authority in England may support or facilitate, or make arrangements to be represented at, any of the following—
(a) a religious event,
(b) an event with a religious element,
(c) an event connected with a religious or philosophical belief, or
(d) an event with an element connected with such a belief.",2017-03-17,2017-05-11,,power
3004,Events - health and safety notifications,"If in relation to a required permission to hold an event. for a reason related to the health or safety of any person, or for reasons that include such a reason, the decision has effect to—

(i) stop the holding of the event,
(ii) impose restrictions on the holding of the event,
(iii) impose conditions to be met in connection with the holding of the event, or
(iv) do all, or any two, of those things.

The local authority must take prescribed steps to notify relevant people of that decision and to review that decision if required. ",2017-03-17,2017-05-11,,duty
3005,Slavery or trafficking - notification,A local authority must notify the Secretary of State or another person or body identified by regulations if its suspects slavery or trafficking.,2017-03-17,2017-05-11,,duty
3006,Housing - register of self-build and custom build interest,"A local authority must keep a register of—
individuals, and associations of individuals who are seeking to acquire serviced plots of land in the authority's area for their own self-build and custom housebuilding.",2017-03-17,2017-11-28,,duty
3007,Housing - regard to self build register,"A local authority must have regard to each register under section 1 that relates to its area when carrying out the following functions.

planning;
housing;
the disposal of any land of the authority; and
regeneration.",2017-03-17,2017-05-11,,duty
3008,Housing - permission for self build and custom house building,A local authority must give suitable development permission in respect of enough serviced plots of land to meet the demand for self-build and custom house building in the authority's area arising in each base period and must also comply with Regulations.,2017-03-17,2017-05-11,,duty
3009,Housing - guidance regarding self build and custom house building,A local authority must have regard to guidance issued by the Secretary of State when carrying out its duties under the Act.,2017-03-17,2017-05-11,,duty
3010,Childcare - publication of information on free childcare,A local authority must comply with Regulations made by the Secretary of State regarding the publication of information relating to the availability of free childcare.,2017-03-17,2017-05-11,,duty
3011,Childcare - availability of free childcare,A local authority must comply with Regulations made by The Secretary of State regarding the availability of free childcare.,2017-03-17,2017-05-11,,duty
3012,Combined authorities - Mayor,A combined local authority must comply with an Order of the Secretary of State regarding combined authorities having a mayor for the combined area.  ,2017-03-20,2017-05-11,,duty
3013,Transport - creation of sub national transport body,A local authority must comply with an Order of the Secretary of State regarding the creation of sub national transport bodies.,2017-03-20,2017-05-11,,duty
3014,Local authorities - governance arrangements,A local authority must comply with the governance arrangements laid down in an Order of the Secretary of State.,2017-03-20,2017-05-11,,duty
3015,Local authority - transfer of functions,A local authority must carry out the functions transferred to it by an Order of the Secretary of State.,2017-03-21,2017-05-11,,duty
3016,Combined authorities - deputy Mayor,The Mayor of a combined local authority must appoint a deputy mayor,2017-03-21,2017-05-11,,duty
3017,Combined authorities - functions of a Mayor,The Mayor of a combined local authority must carry out the functions set out in the Secretary of States Order.,2017-03-21,2017-05-11,,duty
3018,Combined authorities - functions,A combined local authority must comply with an order of the Secretary of State regarding the local authority functions that it must carry out.,2017-03-21,2017-05-11,,duty
3019,Housing - grants to private registered providers,The Greater London Authority may make grants to private registered providers in respect of right to buy discounts for dwellings in London on such terms as it considers to be appropriate.,2017-03-21,2017-05-11,,power
3020,Housing - vacant higher value housing,A Local Authority must make payments to the Secretary of State in respect of vacant higher value housing.,2017-03-21,2017-05-11,,duty
3021,Housing - sale of higher value housing,A Local Authority must consider selling higher value housing,2017-03-21,2017-05-11,,duty
3022,Housing - rent for high income tenants,A Local Authority must comply with regulations making provision about the levels of rent that it must charge a high income tenant of social housing.,2017-03-21,2017-05-11,,duty
3023,Planning - alternative planning permission providers,A Local Authority must comply with regulations regarding the provision of information to alternate planning providers.,2017-03-21,2018-01-29,,duty
3024,Planning - compulsory purchase - entry of land,A Local Authority may enter and survey land which it is acquiring by compulsory purchase providing certain conditions are met.,2017-03-21,2017-05-11,,power
3025,Planning - compulsory purchase - damage compensation,Where a Local Authority entering and surveying land which it is acquiring by compulsory purchase causes damage it must pay compensation in certain circumstances.,2017-03-21,2017-05-11,,duty
3026,Migrant children - transfer of responsibilities,A local authority may make arrangements with another authority for the transfer of certain responsibilities relating to migrant children. ,2017-03-21,2017-05-11,,power
3027,Migrant children - provision of information,A local authority must when directed to do so by the Secretary of State provide information to the Secretary of State relevant to the exercise of sections 69 or 72 of the Act. ,2017-03-21,2017-05-11,,duty
3028,Migrant children - directed transfer of responsibility,"A local authority must, when directed to do so by the Secretary of State, enter into arrangements under section 69 of the Act. ",2017-03-21,2017-05-11,,duty
3029,Migrant children - compliance with transfer scheme,"A local authority must, comply with a Scheme for the transfer of responsibility for relevant children prepared by the Secretary of State. ",2017-03-21,2017-05-11,,duty
3030,Local authority - spoken English in customer facing roles (England),A local authority must ensure that each person who works for the public authority in a customer-facing role speaks fluent English and must have regard to the code of practice under section 80 applicable to that Authority when so doing.,2017-03-21,2017-05-11,,duty
3031,Local authority - complaints procedure regarding language (England),A local authority must have a complaints procedure for dealing with complaints regarding an alleged breach of the Section 77 duty and must have regard to the code of practice under section 80 applicable to that Authority when so doing.,2017-03-21,2017-05-11,,duty
3032,Local authority - spoken English/Welsh in customer facing roles (Wales),A local authority must ensure that each person who works for the public authority in a customer-facing role speaks fluent English or Welsh and must have regard to the code of practice under section 80 applicable to that Authority when so doing.,2017-03-21,2017-05-11,,duty
3033,Local authority - complaints procedure regarding language (Wales),A local authority must have a complaints procedure for dealing with complaints regarding an alleged breach of the Section 77 duty and must have regard to the code of practice under section 80 applicable to that Authority when so doing.,2017-03-21,2017-05-11,,duty
3034,Psychoactive substances - prohibition notices,A local authority may issues a prohibition notice in certain circumstances. ,2017-03-21,2017-05-11,,power
3035,Psychoactive substances - premises notice,A local authority may issues a premises notice in certain circumstances. ,2017-03-21,2017-05-11,,power
3036,Psychoactive substances - prohibition or premises order,A local authority may apply for a Prohibition or Premises Order in certain circumstances,2017-03-21,2017-05-11,,power
3037,Psychoactive substances - enforcement of access provisions,"A person authorised  by a local authority may—

enter premises in respect of which an access prohibition is in effect (see section 22(6)); and
do anything necessary to secure the premises against entry.",2017-03-21,2017-05-11,,power
3038,Psychoactive substances - recovery of costs,A local authority may apply to a court to recover its costs expended in enforcing access provisions.,2017-03-21,2017-05-11,,power
3039,Psychoactive substances - variation or discharge of prohibition or premises orders,A local authority may apply for the variation or discharge of a Prohibition or Premises Order in certain circumstances,2017-03-21,2017-05-11,,power
3040,Psychoactive substances - entry or search of premises,A local authority may apply to a Magistrate’s court for a warrant to enter and search premises in certain circumstances,2017-03-21,2017-05-11,,power
3041,"Psychoactive substances - examination, testing and taking samples","A local authority officer to whom a warrant under section 39 has been issued may examine, test and take samples of substances found on the premises",2017-03-21,2017-05-11,,power
3042,Psychoactive substances - production of documents,A local authority officer to whom a warrant under section 39 has been issued may require the production of documents,2017-03-21,2017-05-11,,power
3043,Psychoactive substances - seizure of items or documents,A local authority officer to whom a warrant under section 39 has been issued may seize and/or detain items and take copies of documents or records. ,2017-03-21,2017-05-11,,power
3044,"Psychoactive substances - seizure and detention of items, notices and records",A local authority officer who has seized items using powers under the Act must comply with the requirements under the Act relating to the giving of notices and keeping records,2017-03-21,2017-11-28,,duty
3045,"Psychoactive substances - entry, search and seizure – reasonable force","A local authority officer may use reasonable force in exercising the powers of entry, search and seizure under the Act",2017-03-21,2017-05-11,,power
3046,Psychoactive substances - forfeiture of seized items,A local authority may apply to a court for the forfeiture of seized items.,2017-03-21,2017-05-11,,power
3047,Psychoactive substances - return or disposal of seized items,A local authority must comply with its duty to return or dispose of items seized under the Act,2017-03-21,2017-11-28,,duty
3048,Housing - reduction in social housing rents,A local authority who is a registered providers of social housing must (subject to exemptions) secure that the amount of rent payable in respect of that relevant year by a tenant of their social housing in England is at least 1% less than the amount of rent that was payable by the tenant in respect of the preceding 12 months. ,2017-03-21,2017-05-11,,duty
3049,Education - conversion to academy,A local authority and the school’s governing body must where an Academy order under section 4(A1) or (1)(b) take all reasonable steps to facilitate the conversion of the school into an Academy.,2017-03-21,2017-05-11,,duty
3050,Education - guidance on academy conversion,A local authority and the school’s governing body must comply with the Directions of the Secretary of State regarding a proposed conversion.,2017-03-21,2017-05-11,,duty
3051,Apprenticeships - regulations regarding targets,A local authority with Apprenticeship Targets must have regard to the target and must comply with Regulations,2017-03-21,2017-05-11,,duty
3052,Apprenticeships - publication of information,A local authority with Apprenticeship Targets must publish and send to the Secretary of State prescribed information.,2017-03-21,2017-05-11,,duty
3053,Local authority - contracting out of functions,A local authority may contract out its functions to the extent allowed for by ministerial order.,2017-03-21,2017-05-11,,power
3054,Maintained school - intervention where school causing concern,The Governing Body of a maintained school must enter into arrangements if directed to do so by the Secretary of State.,2017-03-21,2017-05-11,,duty
3055,Health - consistent identifiers,A local authority must comply with Regulations relating to consistent identifiers.,2017-03-21,2017-05-11,,duty
3056,Health - sharing of information,A local authority must disclose information in certain circumstances.,2017-03-21,2017-05-11,,duty
3057,Planning - register of land,A local authority must comply with Regulations requiring it to prepare and maintain a register of land,2017-03-21,2017-05-11,,duty
3058,Local authority - employee pension scheme,A local authority must comply with terms of the appropriate public sector pension scheme regulations for its employees.,2017-03-21,2017-05-11,,duty
3059,Local authority - management of pension scheme,If and where relevant under the terms of the various local authority employee related schemes a local authority must manage the scheme and set up a Pensions Board.,2017-03-21,2017-05-11,,duty
3060,Education - free early years budget provision,"A local authority proposing  to allocate an amount of relevant financial assistance to a relevant childcare provider for a funding period out of the authority's individual schools budget for the period, must comply with regulations issued by the Secretary of State.",2017-03-21,2017-05-11,,duty
3061,Regulated activities - guidance and enforcement,"A local authority has responsibilities under the Act with respect to any of the following matters—
(a)agricultural produce (quality standards and labelling);
(b)animal health and welfare;
(c)animal feed;
(d)consumer protection;
(e)environmental protection;
(f)food hygiene and standards;
(g)public health and safety;
(h)weights and measures (including measuring instruments).",2017-03-22,2017-05-11,,duty
3062,Regulated activities - primary authority,A local authority must comply with the Secretary of State’s nomination to be a Primary Authority in relation to a regulated Person under the Act.,2017-03-22,2017-05-11,,duty
3063,Regulated activities - co-ordinator of a regulated group ,A local authority must comply with the Secretary of State’s nomination to be the co-ordinator of a regulated group under the Act and undertake the associated responsibilities,2017-03-22,2017-05-11,,duty
3064,Regulated activities - advice and guidance,A local authority must if it is a primary authority or the co-ordinator of a regulated group provide advice and guidance.,2017-03-22,2017-05-11,,duty
3065,Regulated activities - enforcement action,A local authority when taking enforcement action as a primary authority must take certain steps.,2017-03-22,2017-05-11,,duty
3066,Regulated activities - enforcement action other than as primary authority,A local authority when taking enforcement action other than as a primary authority must take certain steps.,2017-03-22,2017-05-11,,duty
3067,Regulated activities - making of inspection plan,"A local authority’s partnership function consists of or includes a function of inspection, the primary authority may make an inspection plan.",2017-03-22,2017-05-11,,power
3068,Regulated activities - regard to inspection plan,A local authority must have regard to its approved Inspection Plan when carrying out its functions.,2017-03-22,2017-05-11,,duty
3069,Regulated activities - revocation or revision of inspection plan,A local authority may revoke or revise an Inspection Plan by taking the required steps.,2017-03-22,2017-05-11,,power
3070,Regulated activities - charging,A local authority may charge the Regulated Person in order to recover its reasonably incurred costs arising from its carrying out its functions under the Act.,2017-03-22,2017-05-11,,power
3071,Regulated activities - supporting primary authority,A local authority who is a supporting regulator may support a primary authority in carrying out certain of its functions and must take certain steps when doing so.,2017-03-22,2017-05-11,,power
3072,Regulated activities - complementary regulator,A local authority who is a complementary regulator must act consistently with primary authority advice and guidance in the exercise of the designated function.,2017-03-22,2017-05-11,,duty
3073,Regulated activities - notification to complementary regulator,A local authority who is a qualifying regulator or enforcing authority must inform the co-ordinating primary authority of the proposed enforcement action.,2017-03-22,2017-11-28,,duty
3074,Regulated activities - compliance with directions,A local authority when exercising its functions under the Act must have regard to guidance and comply with directions issued by the Secretary of State.,2017-03-22,2017-05-11,,duty
3075,Building regulations - forms and notices,"It is the duty of local authorities to issues forms and notices, authenticate and serve the same and to comply with any statutory instruments.",2017-03-23,2017-05-11,,duty
3076,Building regulations - entry of premises,"An authorised officer of a local authority may, in certain circumstances enter premises to ensure compliance with building regulations.",2017-03-23,2017-05-11,,power
3077,Building regulations - execution of works,"A local authority may, with the agreement of the owner or occupier of the premises execute works at the expense of the owner or occupier.",2017-03-23,2017-05-11,,power
3078,Building regulations - enforcement notice,"A local authority may, issue an enforcement notice and in certain circumstances carry out the required works and charge the owner or occupier for the same. ",2017-03-23,2017-05-11,,power
3079,Building regulations - sale of materials,A local authority may sell materials removed from premises in certain circumstances. ,2017-03-23,2017-05-11,,power
3080,Building regulations - breaking open of streets,A local authority may break open the streets in certain circumstances,2017-03-23,2017-05-11,,power
3081,Building regulations - compensation for damage,A local authority must pay compensation for damage sin certain circumstances.,2017-03-23,2017-05-11,,duty
3082,Building regulations - recovery of expenses,A local authority may recover its expenses and interest for work done in connection with the Act in certain circumstances.,2017-03-23,2017-05-11,,power
3083,Building regulations - power to prosecute,A local authority may commence the prosecution of offences under this Act.,2017-03-23,2017-05-11,,power
3084,Building regulations - indemnity of officers,A local authority must indemnify its Members and officers in certain circumstances,2017-03-23,2017-05-11,,duty
3085,Building regulations - compliance with directions,A local authority must comply with the directions of the Secretary of State and pay his expenses when exercising his default powers.,2017-03-23,2018-02-19,,duty
3086,"Markets - market days, hours and charging","A local authority may determine market days, hours; charge for certain items/services and recover unpaid charges.",2017-03-23,2017-05-11,,power
3087,Markets - weighing machines and scales,A local authority must provide weighing machines and scales in certain circumstances,2017-03-23,2017-11-28,,duty
3088,Markets - cold stores,A local authority may provide cold stores at markets,2017-03-23,2017-05-11,,power
3089,Markets - information from drivers of livestock vehicles,A local authority officer may obtain certain information from drivers of certain livestock vehicles.,2017-03-23,2017-05-11,,power
3090,Planning - brownfield land register,"Each local planning authority must prepare, maintain and publish a register of previously developed land which is within their area and which meets the criteria defined in these regulations.

The register is to be known as that local planning authority’s “Brownfield Land Register”

The register must be published by 31st December 2017",2017-07-25,2017-08-15,,duty
3091,Safety of stands at sports grounds - application for safety certificate,"The local authority may, by notice, require an applicant for a safety certificate for a stand at a sports ground to furnish them, within such reasonable time as they may specify in the notice, with such information and such plans of the ground as they consider necessary for the purpose of discharging their functions in respect of the issue of safety certificates for the regulated stands at the ground.",2017-11-16,2017-11-16,,power
3092,Licences - child performances-  requirements and conditions,Local authorities must follow the prescribed procedure and requirements in respect of licences granted under section 25 of the Children and Young Persons Act 1933 for children performing or taking part in activities abroad for profit.  LAs must impose any conditions which they consider necessary in order to ensure that the child is fit to take part in the performance or activity; proper provision is made to secure the child's health and wellbeing; and proper provision is made to ensure that the child's education will not suffer.  ,2017-11-27,2017-11-27,,duty
3093,Litter bins - cleaning and emptying,It shall be the duty of a litter authority in England and Wales to make arrangements for the regular emptying and cleansing of any litter bins provided.,2017-11-28,2017-11-28,,duty
3094,Non domestic rating - levy payment,A local authority must make a levy payment to the Secretary of State in prescribed circumstances.,2017-11-28,2017-11-28,,duty
3095,Children and familes - home area taking over provision of accommodation,"Where a local authority provide accommodation for a child who is ordinarily resident in the area of another local authority, that other local authority may take over the provision of accommodation for the child within three months of being notified in writing.    ",2017-11-28,2017-11-28,,power
3096,Children and families - provision of accommodation over 16,A local authority may provide accommodation for any person who has reached the age of sixteen but is under twenty-one in any community home which takes children who have reached the age of sixteen if they consider that to do so would safeguard or promote his welfare.,2017-11-28,2017-11-28,,power
3097,Business rates - provision of information on BRS,The billing authority has a duty to comply with any request for information from the billing authority in respect of the business rate supplement.,2017-11-28,2017-11-28,,duty
3098,Transport - securing of public transport provision by county,In each non-metropolitan county of England and Wales it shall be the duty of the county council to secure the provision of such public passenger transport services as the council consider it appropriate to secure to meet requirements within the county that would not be provided by any other means.,2017-11-29,2017-11-29,,duty
3099,Transport - promoting availability and convenience of use of public transport,A non-metropolitan county council and Wales shall have power to take any measures that appear to be appropriate for the purpose of or in connection with promoting the availability of public passenger transport services or the convenience of the public (including persons who are elderly or disabled) in using all available public passenger transport services ,2017-11-29,2017-11-29,,power
3100,Children and families - day care for children aged five and under,A local authority in Wales may provide day care for children within their area who are aged five or under; and not yet attending school even though they are not in need. ,2017-11-29,2017-11-29,,power
3101,Children and families - facilities for day care providers,"A local authority may provide facilities (including training, advice, guidance and counselling) for those caring for children in day care    ",2017-11-29,2017-11-29,,power
3102,Children and families - care for children in need outside school hours,Every local authority shall provide for children in need within their area who are attending any school such care or supervised activities as is appropriate outside school hours; or during school holidays.  ,2017-11-29,2017-11-29,,duty
3103,Children and families - care and activities outside school hours,A local authority in Wales may provide such care or supervised activities for children within their area who are attending any school outside school hours or during school holidays even though those children are not in need. ,2017-11-29,2017-11-29,,power
3104,Looked after children - payments,"Where a child is being looked after by a local authority the authority may make payments to a parent of the child; any person who is not a parent of his but who has parental responsibility for him; or any relative, friend or other person connected with him, in respect of travelling, subsistence or other expenses incurred by that person in visiting the child.  ",2017-11-29,2017-11-29,,power
3105,Looked after children - independent visitors (Wales),"In Wales where it appears to a local authority in relation to any child that they are looking after that communication between the child and a parent of his, or any person who is not a parent of his but who has parental responsibility for him, has been infrequent; or he has not visited or been visited by (or lived with) any such person during the preceding twelve months,and that it would be in the child's best interests for an independent person to be appointed to be his visitor for the purposes of this paragraph, they shall appoint such a visitor.  ",2017-11-29,2017-11-29,,duty
3106,Looked after children - living outside England and Wales,"A local authority may, with the approval of every person who has parental responsibility for the child arrange for, or assist in arranging for, any other child looked after by them to live outside England and Wales. ",2017-11-29,2017-11-29,,power
3107,Looked after children - welfare after leaving care," It is the duty of the local authority looking after a child to advise, assist and befriend him with a view to promoting his welfare when they have ceased to look after him.  ",2017-11-29,2017-11-29,,duty
3108,Looked after children - personal adviser,A local authority shall arrange for each child whom they are looking after who is a eligible to have a personal adviser.  ,2017-11-29,2017-11-29,,duty
3109,Looked after children - notification of death,"If a child who is being looked after by a local authority dies, the authority shall notify the appropriate national authority and shall, so far as is reasonably practicable, notify the child's parents and every person who is not a parent of his but who has parental responsibility for him.",2017-11-29,2017-11-29,,duty
3110,Schools - exit or dissolution of federation,The responsible LA must establish a temporary governing body and issue and review an instrument of government in respect of a school which wishes to exit a federation or where a federation is to dissolve.,2017-11-29,2017-11-29,,duty
3111,Business improvement districts - recovery of ballot costs,A billing authority may recover the costs of a BRS-BID ballot or a renewal ballot from the BRS-BID proposer or BRSBID body in the prescribed circumstances.,2017-11-29,2017-11-29,,power
3112,Business improvement districts - BRS-BID levy prescribed rules,"A billing authority must have regard to prescribed rules regarding the imposition, administration, collection, recovery and application of the BRS-BID levy. ",2017-11-29,2017-11-29,,duty
3113,Business improvement districts - veto of BRS-BID proposals,"A billing authority may veto BRS-BID proposals in the prescribed period and circumstances, but is subject to the appeals provision. ",2017-11-29,2017-11-29,,power
3114,Public transport - prohibition on forming bus company,"A relevant authority may not, in exercise of any of its powers, form a company for the purpose of providing a local service.",2018-02-07,2018-04-03,,duty
3115,Social care -Care Act - compliance with guidance,A local authority must comply with guidance issued by the Secretary of State when carrying out its functions under the Care Act.,2018-02-07,2018-04-03,,duty
3116,Cycle tracks - conversion of footpaths into cycle tracks,"A local highway authority may, to the extent allowed by the Act, in the case of any footpath for which they are the highway authority by order made by them and either-
(a)     submitted to and confirmed by the Secretary of State, or
(b)     confirmed by them as an unopposed order,
designate the footpath or any part of it as a cycle track, with the effect that, on such date as the order takes effect in accordance with the following provisions of this section, the footpath or part of the footpath to which the order relates shall become a highway which for the purposes of the 1980 Act is a highway maintainable at the public expense and over which the public have a right of way on pedal cycles (other than pedal cycles which are motor vehicles) and a right of way on foot.",2018-02-07,2018-04-03,,power
3117,Environmental protection - smoke free premises,Premises must be smoke free to the extent that they are open to the public or used as a place of work.  ,2018-02-13,2018-04-03,,duty
3118,Housing - rent repayment orders - application,"If a local housing authority becomes aware that a person has been convicted of an offence to which this Chapter applies in relation to housing in its area, the authority must consider applying for a rent repayment order.",2018-02-13,2018-04-03,,duty
3119,Housing - rent repayment orders - assisting tenants,A local housing authority in England may help a tenant to apply for a rent repayment order.,2018-02-13,2018-04-03,,power
3120,Housing - reduction of influence on housing providers,A local housing authority must comply with Regulations designed to reduce its influence on private registered housing providers.,2018-02-13,2018-04-03,,duty
3121,Taxation - self employed persons contracted to local authority,If a local authority contracts with a third party for a person to carry out work for it and that person would be considered to be an employee if engaged directly by the local authority then the local authority must treat that person as an employee for the purposes of tax and national insurance.,2018-02-13,2018-04-03,,duty
3122,Taxation - decision on taxable status,"If a local authority enters into a contract to which Section 61M applies, If the contract is entered into on or after 6 April 2017, the duty under subsection (1) must be complied with-
(a)     on or before the time of entry into the contract, or
(b)     if the services begin to be performed at a later time, before that later time.
If the contract is entered into before 6 April 2017, the duty under subsection (1) must be complied with on or before the date of the first payment made under the contract on or after 6 April 2017",2018-02-13,2018-04-03,,duty
3123,Taxation - information to establish taxable status,"If a local authority enters into a contract to which Section 61M applies, the local authority may ask the person such questions as it requires to enable it to comply with its duty under Section 61T. ",2018-02-13,2018-04-03,,power
3124,Waste collection - fixed penalty notices regarding receptacles,"An officer duly authorised by a local authority may, in certain circumstances, issue a fixed penalty notice, in the manner prescribed, for offences under sections 46 and 47 of the Act.",2018-02-14,2018-04-03,,power
3125,Bus services - enhanced partnership scheme notification,If a local transport authority or two or more such authorities acting jointly make or modify an enhanced partnership scheme to provide bus services the authorities must provide the Traffic Commissioner with certain information.,2018-02-14,2018-02-23,,duty
3126,Bus services - advanced quality partnership schemes,"A local transport authority whose area is in England, or two or more such authorities acting jointly, may make an advanced quality partnership scheme if they are satisfied that the scheme will contribute to the implementation of their local transport policies.",2018-02-14,2018-02-14,,power
3127,Burial and cremation - municipal funerals,"It shall be the duty of a local authority to cause to be buried or cremated the body of any person who has died or been found dead in their area, in any case where it appears to the authority that no suitable arrangements for the disposal of the body have been or are being made otherwise than by the authority.",2018-02-14,2018-02-14,,duty
3128,Public health - control of certain diseases,"A local authority shall, where stipulated, comply with regulations for the control of certain diseases.",2018-02-19,2018-02-22,,duty
3129,Public health - canal boats,A local authority shall enforce any regulations regarding canal boats in respect of those boats present in it's area.,2018-02-19,2018-02-19,,duty
3130,Road traffic - school crossing patrols,A local traffic authority may establish school crossing patrols,2018-02-19,2018-02-19,,power
3131,Roads - provision of parking and schemes of traffic control,A local authority may provide on and off road parking and traffic control schemes,2018-02-19,2018-02-19,,power
3132,Roads - off-street parking,A local authority may designate and control off-street parking,2018-02-19,2018-02-19,,power
3133,Roads - pay parking on highways,A local authority may designate and control pay parking on highways,2018-02-19,2018-02-19,,power
3134,Roads - loading areas,A local authority may provide loading areas,2018-02-19,2018-02-19,,power
3135,Roads - stands and racks for cycles and motorcycles,A local authority may provide stands and racks for cycles and motorcycles,2018-02-19,2018-02-19,,power
3136,Roads - parking attendants,A local authority may provide parking attendants,2018-02-19,2018-02-19,,power
3137,Roads - bollards,A local authority may place bollards in a road in certain circumstances to enforce a local traffic order,2018-02-19,2018-02-19,,power
3138,Libraries - charging,A local authority may not charge for library services save as allowed for by section 8 or by Regulations,2018-02-19,2018-02-19,,duty
3139,New towns - overseeing development,Where the Secretary of State has by order appointed one or more local authorities to oversee the development of the area as a new town the local authority must comply with Regulations published by the Secretary of State.,2018-02-19,2018-02-19,,duty
3140,Fire and rescue - collaboration agreement,A Fire and Rescue Body may enter into a collaboration agreement with an ambulance trust or with a police body in England. A collaboration agreement is an agreement in writing that sets out how the parties to the agreement will work together in discharging their functions.,2018-02-19,2018-02-19,,power
3141,Fire and rescue - consideration of collaboration agreement,A Fire and Rescue Body must keep under consideration whether entering into a collaboration agreement with one or more other relevant emergency services in England could be in the interests of the efficiency or effectiveness of that service and those other services. The Body must share any proposals and consider any such proposals received from others.,2018-02-19,2018-02-19,,duty
3142,Licensing - taxi and private hire vehicles,A local authority responsible for the licencing of taxis and private hire vehicles must have regard to the Secretary of State's Guidance. ,2018-02-19,2018-02-19,,duty
3143,Burial and cremation - person in care accommodation (England),Any council which is the local authority for the purposes of the Local Authority Social Services Act 1970 may cause to be buried or cremated the body of any deceased person who immediately before his death was being provided with accommodation under Part 1 of the Care Act 2014,2018-02-19,2018-02-19,,power
3144,Burial and cremation - person in care accommodation (Wales),A local authority within the meaning of the Social Services and Well-being (Wales) Act 2014 may cause to be buried or cremated the body of any deceased person who immediately before his death was being provided with accommodation under Part 4 of that Act.,2018-02-19,2018-02-19,,power
3145,Bus services - notice and consultation of advanced quality partnership schemes,"If an authority or authorities propose to make an advanced quality partnership scheme, they must give notice of the proposed scheme in such manner as they consider appropriate for drawing it to the attention of persons in the area to which it relates. The notices must contain the required particulars and be sent to the statutory consultees.",2018-02-22,2018-02-22,,duty
3146,Bus services - making an advanced quality partnership scheme,"If, after taking the steps described in section 113G, an authority or authorities decide that it is appropriate to make the advanced quality partnership scheme, they may make it as proposed or with modifications. The Scheme must contain certain proscribed particulars.",2018-02-22,2018-02-23,,power
3147,Bus services - postponement of advanced quality contract scheme,"If it appears to the authority or authorities appropriate to do so, they may decide that any of the dates specified the scheme may be postponed, subject to restrictions.",2018-02-22,2018-02-22,,power
3148,Bus services - provision of information,"If a local transport authority or two or more such authorities acting jointly, must comply with Regulations requiring the provision of information about bus services.",2018-02-22,2018-02-22,,duty
3149,Bus services - information when creating a new enhanced partnership plan or scheme,"If a local transport authority or two or more such authorities acting jointly, are preparing an enhanced partnership plan or scheme, the authority or any of the authorities may, in connection with preparing the plan or scheme, require an operator of a local service in their area or combined area to supply relevant information.",2018-02-22,2018-02-22,,power
3150,Bus services - guidance for enhanced partnership plans or schemes,A local authority or authorities must have regard to Guidance regarding enhanced partnership plans and schemes.,2018-02-22,2018-02-22,,duty
3151,Bus services - regulations for enhanced partnership plans or schemes,A local authority or authorities must comply with Regulations regarding enhanced partnership plans and schemes.,2018-02-22,2018-02-22,,duty
3152,Bus services - revocation of enhanced partnership plan or scheme,"A local authority or authorities may revoke their own enhanced partnership plans and schemes, but must comply with notice and consultation requirements.",2018-02-22,2018-02-22,,power
3153,Bus services - advanced quality partnership scheme postponement,"The authority or authorities must, as detailed in the Section-
(a)     provide each of the specified facilities or take each of the specified measures not later than the date specified for it to be provided or taken under the scheme, and
(b)     continue to provide the facilities or keep the measures in effect throughout the remainder of the period for which the scheme is in operation.",2018-02-22,2018-02-22,,duty
3154,Bus services - advanced quality partnership schemes - regulations and guidance,The Transport Authorities must comply with Regulations  and have regard to Guidance issued by the Secretary of State.,2018-02-22,2018-02-22,,duty
3155,Bus services - advanced quality partnership scheme - variation or revocation ,The authority or authorities responsible for a Scheme may vary or revoke Scheme.,2018-02-22,2018-02-22,,power
3157,Bus services - franchising schemes,"Subject to Regulations, a franchising authority, or two or more franchising authorities acting jointly, may make a franchising scheme covering the whole or any part of their area, or their combined area.",2018-03-08,2018-03-08,,power
